	2012	2013	2014	2015	2016
Chloris chloris	0.24	0.294117647	0.05	0.904761905	0
Cyanistes caeruleus	0.16	0.176470588	0.1	0.333333333	0.2
Dendrocopos major	0.04	0	0.2	0.142857143	0
Erithacus rubecula	4.48	2.764705882	4.5	3.904761905	4.2
Ficedula hypoleuca	5.04	2	4.35	3.80952381	1.2
Muscicapa striata	0.12	0.058823529	0.15	0.523809524	0
Sylvia atricapilla	1.44	2.588235294	1.85	2.571428571	1.15
Sylvia borin	1.4	0.823529412	0.65	2	0.45
Sylvia communis	0.12	0	0.2	0.333333333	0.1
Sylvia melanocephala	0.92	0.823529412	1.55	1.095238095	1.2
Sylvia undata	0	0	0.1	0.095238095	0
Turdus merula	1.08	0.588235294	0.65	0.380952381	0.9
