Year;Disperser;Arbutus_unedo;Crataegus_monogyna;Daphne_gnidium;Ficus_carica;Lonicera_periclymenum;Olea_europaea;Phillyrea_angustifolia;Phillyrea_latifolia;Phytolacca_americana;Pistacia_lentiscus;Rhamnus_alaternus;Rubia_peregrina;Rubus_ulmifolius;Smilax_aspera;Solanum_nigrum;Viburnum_tinus;Vitis_vinifera
2012;Cyanistes_caeruleus;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2012;Erithacus_rubecula;0;0;0;2;0;1;0;0;0;9;4;0;10;0;0;0;0
2012;Ficedula_hypoleuca;0;0;0;0;0;0;0;0;2;5;7;0;9;3;1;0;0
2012;Sylvia_atricapilla;1;0;0;8;0;0;0;0;0;5;16;0;2;5;5;0;3
2012;Sylvia_borin;0;0;1;15;0;0;0;0;0;6;21;0;6;1;0;0;1
2012;Sylvia_communis;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
2012;Sylvia_melanocephala;0;0;1;0;0;0;0;0;0;11;5;2;3;0;0;0;0
2012;Turdus_merula;0;0;0;5;0;0;0;0;0;0;1;0;1;0;0;0;5
2013;Cyanistes_caeruleus;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Erithacus_rubecula;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;2
2013;Ficedula_hypoleuca;0;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;0
2013;Sylvia_atricapilla;0;0;0;13;3;0;0;2;0;0;2;0;2;1;0;0;5
2013;Sylvia_borin;0;0;0;8;0;0;0;0;0;0;4;0;3;0;1;0;0
2013;Sylvia_melanocephala;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0
2013;Turdus_merula;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4
2014;Cyanistes_caeruleus;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2014;Dendrocopos_major;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;Erithacus_rubecula;0;0;0;0;0;0;0;0;0;7;1;1;1;2;0;2;1
2014;Ficedula_hypoleuca;0;0;0;0;0;0;0;0;0;6;0;0;1;1;0;1;0
2014;Muscicapa_striata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2014;Sylvia_atricapilla;3;0;0;9;0;0;0;0;0;14;2;3;0;9;1;1;0
2014;Sylvia_borin;1;0;0;5;0;0;0;0;0;5;4;0;0;1;0;0;0
2014;Sylvia_communis;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
2014;Sylvia_melanocephala;1;0;1;0;0;0;0;1;0;13;3;0;0;0;1;0;0
2014;Sylvia_undata;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
2014;Turdus_merula;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1
2015;Chloris_chloris;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;Erithacus_rubecula;0;0;0;1;0;0;0;0;0;7;1;1;7;1;0;2;0
2015;Ficedula_hypoleuca;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
2015;Muscicapa_striata;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
2015;Sylvia_atricapilla;0;0;0;15;1;0;1;2;2;19;10;3;2;5;1;1;6
2015;Sylvia_borin;0;0;0;25;0;0;0;2;1;5;10;0;8;0;0;0;6
2015;Sylvia_communis;0;0;0;0;0;0;0;0;0;1;0;0;5;0;1;0;0
2015;Sylvia_melanocephala;0;0;0;0;0;0;0;0;0;10;5;0;4;0;0;0;1
2015;Sylvia_undata;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2015;Turdus_merula;1;0;0;3;0;0;0;0;0;1;1;0;1;0;0;0;0
2016;Cyanistes_caeruleus;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2016;Erithacus_rubecula;0;0;0;0;0;0;0;0;0;0;1;0;14;2;0;0;0
2016;Ficedula_hypoleuca;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0
2016;Sylvia_atricapilla;0;1;0;9;2;0;0;1;0;0;7;0;0;1;0;0;1
2016;Sylvia_borin;0;0;0;2;0;0;0;0;0;0;4;0;4;0;0;0;0
2016;Sylvia_communis;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2016;Sylvia_melanocephala;0;0;2;0;0;0;0;2;0;0;8;0;4;0;0;0;0
2016;Turdus_merula;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;4
